ID,Language_ID,Name,Description,Segments,Morpheme_ID,Parameter_ID,Comment,Source,Part_Of_Speech
mijna-there-all,yab,mïjna,,m ɨ h n a,mijna-there-all,there.ALL,,,
minte-there-loc,yab,mïntë,,m ɨ n t ə,minte-there-loc,there.LOC,,,
mira-priodontes-maximus,yab,mïra,,m ɨ r a,mira-priodontes-maximus,priodontes maximus,,,
nai-do,yab,nai,,n a i,nai-do,do,,,
naij-do,yab,naij,,n a i h,nai-do,do,,,
najmo-grandmother,yab,najmo,,n a h m o,najmo-grandmother,grandmother,,,
najpi-grandfather,yab,najpï,,n a h p ɨ,najpi-grandfather,grandfather,,,
najwata-harbor,yab,najwata,,n a h w a t a,najwata-harbor,harbor,,,
naki-thirst,yab,naki,,n a k i,naki-thirst,thirst,,,
nata-door,yab,nata,,n a t a,nata-door,door,,,
nepi-bring,yab,nepï,,n e p ɨ,nepi-bring,bring,,,
nej-bring,yab,nej,,n e h,nepi-bring,bring,,,
nono-earth,yab,nono,,n o n o,nono-earth,earth,,,
nope-good,yab,nope,,n o p e,nope-good,good,,,
nop-good,yab,nop,,n o p,nope-good,good,,,
noro-parrot-sp,yab,noro,,n o r o,noro-parrot-sp,parrot.sp,,,
noti-potential-partner,yab,noti,,n o t i,noti-potential-partner,potential partner; cross cousin,,,
nta-mouth,yab,nta,,n t a,nta-mouth,mouth,,,
nune-moon,yab,nunë,,n u n ə,nune-moon,moon,,,
nu-tongue,yab,nu,,n u,nu-tongue,tongue,,,
nwajte-dance,yab,nwajtë,,n w a h t ə,nwajte-dance,dance,,,
wajte-dance,yab,wajtë,,w a h t ə,nwajte-dance,dance,,,
neme-leave,yab,nëmë,,n ə m ə,neme-leave,leave,,,
ochi-o,yab,ochi,,o t͡ʃ i,ochi-o,O.,,,
ojpa-give-drink,yab,ojpa,,o h p a,ojpa-give-drink,give drink,,,
onono-another,yab,onono,,o n o n o,onono-another,another,,,
orojyamo-evil-being,yab,orojyamo,,o r o h j a m o,orojyamo-evil-being,evil being,,,
pachi-older-sister-of-woman,yab,pachi,,p a t͡ʃ i,pachi-older-sister-of-woman,older sister of woman,,,
paijku-p,yab,paijku,,p a i h k u,paijku-p,P.,,,
paka-cow,yab,paka,,p a k a,paka-cow,cow,,,
pakara-basket,yab,pakara,,p a k a r a,pakara-basket,basket,,,
pakura-coix-lacryma-jobi,yab,pakura,,p a k u r a,pakura-coix-lacryma-jobi,Coix lacryma-jobi,,,
paku-arrow-tip,yab,paku,,p a k u,paku-arrow-tip,arrow tip,,,
pana-ear,yab,pana,,p a n a,pana-ear,ear,,,
pana-dat,yab,pana,,p a n a,pana-dat,DAT,,,
pano-fmr,yab,pano,,p a n o,pano-fmr,FMR,,,
pan-fmr,yab,pan,,p a n,pano-fmr,FMR,,,
papa-father,yab,papa,,p a p a,papa-father,father,,,
parujpe-broth,yab,parujpë,,p a r u h p ə,parujpe-broth,broth,,,
pata-village,yab,pata,,p a t a,pata-village,village,,,
pata-axe,yab,pata,,p a t a,pata-axe,axe,,,
pate-cross,yab,patë,,p a t ə,pate-cross,cross,,,
penare-before,yab,penarë,,p e n a r ə,penare-before,before,,,
pene-piranha,yab,pene,,p e n e,pene-piranha,piranha,,,
pepoye-above-perl,yab,pepoye,,p e p o j e,pepoye-above-perl,above.PERL,,,
pe-palm-sp,yab,pe,,p e,pe-palm-sp,palm.sp,,,
peti-leg,yab,peti,,p e t i,peti-leg,leg,,,
peye-turtle-sp,yab,peye,,p e j e,peye-turtle-sp,turtle.sp,,,
picha-capuchin-monkey,yab,picha,,p i t͡ʃ a,picha-capuchin-monkey,capuchin monkey,,,
pichipichi-whitebait,yab,pichipichi,,p i t͡ʃ i p i t͡ʃ i,pichipichi-whitebait,whitebait,,,
pijpe-skin,yab,pijpë,,p i h p ə,pijpe-skin,skin,,,
pika-peel,yab,pika,,p i k a,pika-peel,peel,,,
pike-fart,yab,pikë,,p i k ə,pike-fart,fart,,,
pinchi-hes,yab,pinchi,,p i n t͡ʃ i,pinchi-hes,HES,,,
pipi-younger-brother-of-woman,yab,pipi,,p i p i,pipi-younger-brother-of-woman,younger brother of woman,,,
pirini-walk,yab,pirini,,p i r i n i,pirini-walk,walk,,,
pirini-walk-1,yab,pïrini,,p ɨ r i n i,pirini-walk,walk,,,
pojte-want,yab,pojtë,,p o h t ə,pojte-want,want,,,
poroko-basket-sp,yab,poroko,,p o r o k o,poroko-basket-sp,basket.sp,,,
poseti-belly,yab,poseti,,p o s e t i,poseti-belly,belly,,,
pota-mouth,yab,pota,,p o t a,pota-mouth,mouth; shore,,,
poye-above,yab,poye,,p o j e,poye-above,above,,,
punu-flesh,yab,punu,,p u n u,punu-flesh,flesh,,,
pun-flesh,yab,pun,,p u n,punu-flesh,flesh,,,
putu-feel,yab,putu,,p u t u,putu-feel,feel,,,
peke-about,yab,pëkë,,p ə k ə,peke-about,about,,,
poko-about,yab,poko,,p o k o,peke-about,about,,,
penaka-return,yab,pënaka,,p ə n a k a,penaka-return,return,Maybe derived with [mp](kavbz).,,
pimi-neck,yab,pïmï,,p ɨ m ɨ,pimi-neck,neck,,,
