ID,Wordform_ID,Morph_ID,Index,Gloss_ID
tese-go-pst-0,tese-go-pst,te-go,0,go
tese-go-pst-1,tese-go-pst,sepst,1,pst
neke-cntr-0,neke-cntr,neke-cntr,0,cntr
ne-ints-0,ne-ints,ne-ints,0,ints
wurijyantomo-woman-pl-0,wurijyantomo-woman-pl,wurijyan-woman,0,woman
wurijyantomo-woman-pl-1,wurijyantomo-woman-pl,tomopl,1,pl
ijte-there-0,ijte-there,ijte-there,0,there
muku-child-0,muku-child,muku-child,0,child
tase-say-pst-0,tase-say-pst,ta-say,0,say
tase-say-pst-1,tase-say-pst,sepst,1,pst
pano-fmr-0,pano-fmr,pano-fmr,0,fmr
tototomo-non-indian-pl-0,tototomo-non-indian-pl,toto-non-indian,0,non-indian
tototomo-non-indian-pl-1,tototomo-non-indian-pl,tomopl,1,pl
pata-village-pert-0,pata-village-pert,pata-village,0,village
pata-village-pert-1,pata-village-pert,rupert-zero,1,pert
yaka-all-0,yaka-all,yaka-all,0,all
meteja-2-go-neg-0,meteja-2-go-neg,me2,0,2
meteja-2-go-neg-1,meteja-2-go-neg,te-go,1,go
meteja-2-go-neg-2,meteja-2-go-neg,janeg,2,neg
chijpe-cop-pst-acnnmlz-0,chijpe-cop-pst-acnnmlz,chi-cop,0,cop
chijpe-cop-pst-acnnmlz-1,chijpe-cop-pst-acnnmlz,jpenmlz,1,"pst,acnnmlz"
wara-thus-0,wara-thus,wara-thus,0,thus
kwa-how-0,kwa-how,kwa-how,0,how
senkatoj-finish-circ-nmlz-1,senkatoj-finish-circ-nmlz,tojnmlz,1,"circ,nmlz"
meempamijpe-2-learn-pst-0,meempamijpe-2-learn-pst,me2,0,2
meempamijpe-2-learn-pst-1,meempamijpe-2-learn-pst,empami-learn,1,learn
meempamijpe-2-learn-pst-2,meempamijpe-2-learn-pst,jpepst1,2,pst
waimu-language-pert-0,waimu-language-pert,waimu-language,0,language
waimu-language-pert-1,waimu-language-pert,rupert-zero,1,pert
yaye-loc-0,yaye-loc,yaye-loc,0,loc
mare-rel-inan-1-0,mare-rel-inan-1,mare-rel-inan,0,"rel,inan"
winijse-sleep-pst-0,winijse-sleep-pst,winij-sleep,0,sleep
winijse-sleep-pst-1,winijse-sleep-pst,sepst,1,pst
waijtatomo-mouse-pl-0,waijtatomo-mouse-pl,waijta-mouse,0,mouse
waijtatomo-mouse-pl-1,waijtatomo-mouse-pl,tomopl,1,pl
nwajteri-dance-ipfv-0,nwajteri-dance-ipfv,nwajte-dance,0,dance
nwajteri-dance-ipfv-1,nwajteri-dance-ipfv,ri,1,ipfv
pirare-neg-exist-0,pirare-neg-exist,pirare-neg-exist,0,"neg,exist"
iwenaru-3-vomit-pert-0,iwenaru-3-vomit-pert,i31,0,3
iwenaru-3-vomit-pert-1,iwenaru-3-vomit-pert,wena-vomit,1,vomit
iwenaru-3-vomit-pert-2,iwenaru-3-vomit-pert,rupert,2,pert
aaa-ah-0,aaa-ah,aaa-ah,0,ah
usukuru-1-urine-pert-0,usukuru-1-urine-pert,u1,0,1
usukuru-1-urine-pert-1,usukuru-1-urine-pert,suku-urine,1,urine
usukuru-1-urine-pert-2,usukuru-1-urine-pert,rupert,2,pert
usujta-1-urinate-ipfv-0,usujta-1-urinate-ipfv,u1,0,1
usujta-1-urinate-ipfv-2,usujta-1-urinate-ipfv,ri-zero,2,ipfv
konopo-rain-0,konopo-rain,konopo-rain,0,rain
wejsare-come-imn-0,wejsare-come-imn,wej-come,0,come
wejsare-come-imn-1,wejsare-come-imn,sareimn,1,imn
tipase-go-in-group-pst-0,tipase-go-in-group-pst,tipa-go-in-group,0,go-in-group
tipase-go-in-group-pst-1,tipase-go-in-group-pst,sepst,1,pst
tipapejse-go-in-group-plur-pst-0,tipapejse-go-in-group-plur-pst,tipa-go-in-group,0,go-in-group
tipapejse-go-in-group-plur-pst-1,tipapejse-go-in-group-plur-pst,plur2,1,plur
tipapejse-go-in-group-plur-pst-2,tipapejse-go-in-group-plur-pst,sepst,2,pst
waijta-mouse-0,waijta-mouse,waijta-mouse,0,mouse
waraijtokon-man-0,waraijtokon-man,waraijtokon-man,0,man
maniki-rel-anim-0,maniki-rel-anim,maniki-rel-anim-1,0,"rel,anim"
ijtese-3-go-pst-0,ijtese-3-go-pst,ij3,0,3
ijtese-3-go-pst-1,ijtese-3-go-pst,te-go,1,go
ijtese-3-go-pst-2,ijtese-3-go-pst,sepst,2,pst
tiwij-3-house-pert-0,tiwij-3-house-pert,it3,0,3
tiwij-3-house-pert-1,tiwij-3-house-pert,iwij-house,1,house
tiwij-3-house-pert-2,tiwij-3-house-pert,rupert-zero,2,pert
waraijtokomo-man-0,waraijtokomo-man,waraijtokomo-man,0,man
meyepema-2-pay-ipfv-0,meyepema-2-pay-ipfv,me2,0,2
meyepema-2-pay-ipfv-1,meyepema-2-pay-ipfv,yepema-pay,1,pay
meyepema-2-pay-ipfv-2,meyepema-2-pay-ipfv,ri-zero,2,ipfv
meyapejjrama-2-grab-proh-0,meyapejjrama-2-grab-proh,me2,0,2
meyapejjrama-2-grab-proh-1,meyapejjrama-2-grab-proh,yapej-grab,1,grab
meyapejjrama-2-grab-proh-2,meyapejjrama-2-grab-proh,jramaproh,2,proh
mepana-2-dat-0,mepana-2-dat,me2,0,2
mepana-2-dat-1,mepana-2-dat,pana-dat,1,dat
tataja-3p-say-neg-0,tataja-3p-say-neg,ta-3,0,3p
tataja-3p-say-neg-1,tataja-3p-say-neg,ta-say,1,say
