ID,Language_ID,Name,Description,Parameter_ID,Comment,Source,Part_Of_Speech,Tags
tunami-hide,yab,tunamï,,hide,,,,
tu-give,yab,tu,,give,,,,
te-loc,yab,të,,LOC,,,,
teijpo-far,yab,tëijpo,,far; long,,,,
tejta-hollow,yab,tëjta,,hollow,,,,
tewi-3pro,yab,tëwï,,3PRO,,,,
tewisantomo-3pro-pl,yab,tëwïsantomo,,3PRO.PL,,,,
waijta-mouse,yab,waijta,,mouse,,,,
waijte-head,yab,waijtë,,head,,,,
waimu-language,yab,waimu,,language,,,,
waimu-speak,yab,waimu,,speak,,,,
wajto-fire,yab,wajto,,fire,,,,
wajyaki-happy,yab,wajyakï,,happy,,,,
wajyaki-be-happy,yab,wajyakï,,be happy,,,,
wajyama-kiss,yab,wajyama,,kiss,,,,
wanapu-savannah,yab,wanapu,,savannah,,,,
wanene-aunt,yab,wanene,,aunt,,,,
waraijtokomo-man,yab,waraijtokomo,,man,,,,
waraijto-husband,yab,waraijto,,husband,,,,
warota-work,yab,warota,,work,,,,
waruwa-hoti,yab,waruwa,,hoti,,,,
wasayi-attalea-maripa,yab,wasayi,,attalea maripa,,,,
wati-burn,yab,watï,,burn,,,,
wawe-loc-aq,yab,wawë,,LOC.AQ,,,,
weka-defecate,yab,weka,,defecate,,,,
wena-vomit,yab,wena,,vomit,,,,
wenkepi-forget,yab,wenkepï,,forget,,,,
wepi-come,yab,wepï,,come,,,,
wereta-arrive,yab,wereta,,arrive,Potentially derived with [mp](tavbz).,,,
werewere-mosquito-sp,yab,werewere,,mosquito sp.,,,,
wereyi-cloud,yab,wereyi,,cloud,,,,
weroro-dog,yab,weroro,,dog,,,,
weseyu-be-angry,yab,weseyu,,be angry,,,,
wiriyamo-woman,yab,wiriyamo,,woman,,,,
wejka-fall,yab,wëjka,,fall,,,,
wejte-go-down,yab,wëjtë,,go down,,,,
we-kill,yab,wë,,kill,,,,
winiki-sleep,yab,wïnïkï,,sleep,,,,
wire-1pro,yab,wïrë,,1PRO,,,,
ya-ra-grandchild,yab,ya'ra,,grandchild,,,,
yajno-brother-in-law-man,yab,yajno,,brother in law (man),,,,
yaka-all,yab,yaka,,ALL,,,,
yaka-dig-out,yab,yaka,,dig out,,,,
yamane-make,yab,yamanë,,make,,,,
yami-pick-up,yab,yamï,,pick up,,,,
yane-mother,yab,yanë,,mother,,,,
yaniki-call,yab,yanïkï,,call,,,,
yapijtomo-old,yab,yapijtomo,,old,Fossilized _-tomo_.,,,
yapechi-grab,yab,yapëchi,,grab,,,,
yarika-laugh,yab,yarika,,laugh,,,,
yaruwa-laugh,yab,yaruwa,,laugh,,,,
yare-bring,yab,yarë,,bring,,,,
yatane-adolescent,yab,yatanë,,adolescent,,,,
yatunu-day,yab,yatunu,,day; sun,,,,
yate-loc,yab,yatë,,LOC,,,,
yawaka-sow,yab,yawaka,,sow,,,,
yawaki-grate,yab,yawakï,,grate,,,,
yawanka-kill,yab,yawanka,,kill,,,,
yaye-loc,yab,yaye,,LOC,,,,
yemekunu-five,yab,yemekunu,,five,,,,
yeme-eat-fruits-eggs-soup,yab,yeme,,"eat (fruits, eggs, soup)",,,,
yenepe-send-away,yab,yenepe,,send away,,,,
yepema-pay,yab,yepema,,pay,Potentially derived with [mp](macaus).,,,
yojma-mix,yab,yojma,,mix,Maybe from [mp](oki-chicha) and [mp](macaus)?,,,
yojte-fish-with-hook,yab,yojtë,,fish with hook,,,,
yoko-pimple,yab,yoko,,pimple,,,,
yoki-eat-starch,yab,yokï,,eat (starch),,,,
yopo-find,yab,yopo,,find,,,,
yujwa-burn,yab,yujwa,,burn,,,,
yumpe-fairly,yab,yumpe,,fairly; much,,,,
yutu-forest,yab,yutu,,forest,,,,
ye-tooth,yab,yë,,tooth,,,,
yejpe-bone,yab,yëjpë,,bone,,,,
yempeka-offend,yab,yëmpëka,,offend,,,,
yeni-drink,yab,yëni,,drink,,,,
yene-eat-meat,yab,yënë,,eat (meat),,,,
yewuku-answer,yab,yëwuku,,answer,,,,
yeye-tree,yab,yëye,,tree,,,,
yipi-mountain,yab,yïpï,,mountain,,,,
ejpina-often,yab,ëjpïna,,often,,,,
eke-which,yab,ëkë,,which,,,,
ekere-jaguar,yab,ëkërë,,jaguar,,,,
