ID,Language_ID,Name,Lexeme_ID,Parameter_ID,Morpho_Segments,Segments,Comment,Source,Part_Of_Speech
wasayi-attalea-maripa,yab,wasayi,wasayi-attalea-maripa,attalea maripa,wasayi,w a s a j i,,,n
wasai-attalea-maripa,yab,wasai,wasayi-attalea-maripa,attalea maripa,wasai,w a s a i,,,n
wati-burn,yab,watï,wati-burn,burn,watï,w a t ɨ,,,vi
waj-burn,yab,waj,wati-burn,burn,waj,w a h,,,vi
wawe-loc-aq,yab,wawë,wawe-loc-aq,LOC.AQ,wawë,w a w ə,,,postp
wejyaka-into-house-of,yab,wejyaka,wejyaka-into-house-of,into house of,wejyaka,w e h j a k a,,,postp
wejyate-in-house-of,yab,wejyatë,wejyate-in-house-of,in house of,wejyatë,w e h j a t ə,,,postp
weka-defecate,yab,weka,weka-defecate,defecate,weka,w e k a,,,vi
wena-vomit,yab,wena,wena-vomit,vomit,wena,w e n a,,,n
wenkepi-forget,yab,wenkepï,wenkepi-forget,forget,wenkepï,w e n k e p ɨ,,,vi
wenkepi-forget-1,yab,wënkepï,wenkepi-forget,forget,wënkepï,w ə n k e p ɨ,,,vi
wenkej-forget,yab,wënkej,wenkepi-forget,forget,wënkej,w ə n k e h,,,vi
wepi-come,yab,wepï,wepi-come,come,wepï,w e p ɨ,,,vi
wej-come,yab,wej,wepi-come,come,wej,w e h,,,vi
wereta-arrive,yab,wereta,wereta-arrive,arrive,wereta,w e r e t a,Potentially derived with [mp](tavbz).,,vi
werewere-mosquito-sp,yab,werewere,werewere-mosquito-sp,mosquito sp.,werewere,w e r e w e r e,,,n
wereyi-cloud,yab,wereyi,wereyi-cloud,cloud,wereyi,w e r e j i,,,n
werey-cloud,yab,werey,wereyi-cloud,cloud,werey,w e r e j,,,n
weroro-dog,yab,weroro,weroro-dog,dog,weroro,w e r o r o,,,n
weseyu-be-angry,yab,weseyu,weseyu-be-angry,be angry,weseyu,w e s e j u,,,vi
wesei-be-angry,yab,wesei,weseyu-be-angry,be angry,wesei,w e s e i,,,vi
wiriyamo-woman,yab,wiriyamo,wiriyamo-woman,woman,wiriyamo,w i r i j a m o,,,n
wurijyam-woman,yab,wurijyam,wiriyamo-woman,woman,wurijyam,w u r i h j a m,,,n
wurijyamo-woman,yab,wurijyamo,wiriyamo-woman,woman,wurijyamo,w u r i h j a m o,,,n
